timestamp,open,high,low,close,volume
2020-12-11 18:15:00,475.6000,475.6000,475.6000,475.6000,281
2020-12-11 16:25:00,475.9400,475.9400,475.9400,475.9400,106
2020-12-11 16:20:00,475.9100,475.9576,475.9100,475.9576,614
2020-12-11 16:05:00,475.9100,475.9100,473.6700,475.9100,152110
2020-12-11 16:00:00,474.5500,476.1100,474.5500,476.1100,265243
2020-12-11 15:55:00,475.0600,475.2900,473.7700,474.5100,132291
2020-12-11 15:50:00,475.1500,475.2573,474.1621,475.0500,54952
2020-12-11 15:45:00,476.1100,476.2450,475.0800,475.1500,31869
2020-12-11 15:40:00,475.2700,476.2500,475.2700,476.0800,34023
2020-12-11 15:35:00,475.2300,475.6100,475.0500,475.2000,32182
2020-12-11 15:30:00,475.4900,475.5500,475.0000,475.2200,34403
2020-12-11 15:25:00,475.8000,475.8600,475.3151,475.4550,23207
2020-12-11 15:20:00,474.7900,476.2500,474.7900,475.8900,41022
2020-12-11 15:15:00,474.1500,474.6900,474.0200,474.6750,26974
2020-12-11 15:10:00,474.3000,474.7400,473.9800,474.1400,16114
2020-12-11 15:05:00,474.4400,474.9150,474.2850,474.3000,33001
2020-12-11 15:00:00,473.6100,474.4400,473.3900,474.3200,24168
2020-12-11 14:55:00,474.2700,474.3400,473.6300,473.6300,20156
2020-12-11 14:50:00,474.3800,474.5800,474.2100,474.3050,24690
2020-12-11 14:45:00,474.1100,474.5800,474.1000,474.3800,17117
2020-12-11 14:40:00,474.3800,474.5600,474.2100,474.2900,13280
2020-12-11 14:35:00,473.6400,474.6550,473.5900,474.6550,24596
2020-12-11 14:30:00,473.4100,473.6200,473.2500,473.6000,28013
2020-12-11 14:25:00,473.4400,473.6100,473.3072,473.4850,17365
2020-12-11 14:20:00,473.5100,473.5850,473.0400,473.5100,29908
2020-12-11 14:15:00,474.0200,474.1000,473.5300,473.5300,13197
2020-12-11 14:10:00,473.3000,474.2503,473.3000,474.0200,13739
2020-12-11 14:05:00,473.2800,473.2800,472.7000,473.2200,24944
2020-12-11 14:00:00,474.1800,474.3650,473.1600,473.1900,33390
2020-12-11 13:55:00,473.3400,474.1950,473.3400,473.9650,35684
2020-12-11 13:50:00,473.3900,473.6200,473.2900,473.3600,14970
2020-12-11 13:45:00,474.1200,474.1900,473.4600,473.4600,35868
2020-12-11 13:40:00,473.8200,474.6750,473.6320,474.2000,22358
2020-12-11 13:35:00,472.4900,473.8900,472.4050,473.8550,24876
2020-12-11 13:30:00,472.2000,472.5800,471.9800,472.4850,20885
2020-12-11 13:25:00,472.3250,472.7199,471.9900,471.9900,12954
2020-12-11 13:20:00,472.4000,472.5010,472.0600,472.3300,21836
